Date;Platform;Users;Profiled Mentors;Profiled Mentees;Total Profiled;Total Non-Profiled;Mentees Who Initiated Relationship;Mentors Currently in Relationship;Mentors Completed Relationship;Mentors Ever in Relationship;Mentees Currently in Relationship;Mentees Completed Relationship;Mentees Ever in Relationship;No: of Active Relationships;No: of Completed Relationships;Total no. of Request Initiated;Current no. of Requests Pending;Current no. of Requests Accepted;Current no. of Requests Completed;Current no. of Requests Expired;Current no. of Requests Declined;Current no. of Requests Removed;No: of Roundtable;No: of Roundtable Users;No: of Roundtable Posts;No: of Insights;Insight Comments;Connections (Followers and Being Followed);Total Messages;Message Posts;Meetings (Upcoming);Meetings (Completed);Meetings (Deleted);Meetings (Total);Profiled;Mentees who initiated a Request;Mentors in an Active Relationship;Mentees in an Active Relationship;Mentors Completed Relationship;Mentees Completed Relationship;Mentors in either Active or Completed Relationship;Mentees in either Active or Completed Relationship;Number of Active Relationships;Number of Completed Relationships;;;;;;;
5/25/20;Company_75;34157;2383;2683;3300;30857;282;29;208;234;29;208;230;31;280;;;;;;;;34;296;;211;130;898;;;;;;;9.66%;10.51%;1.22%;1.08%;8.73%;7.75%;9.82%;8.57%;31;280;;;;;;;
5/25/20;Company_76;71;33;22;66;5;7;6;1;7;5;1;6;7;1;;;;;;;;4;9;;2;1;41;;;;;;;92.96%;31.82%;18.18%;22.73%;3.03%;4.55%;21.21%;27.27%;7;1;;;;;;;
6/01/20;Company_01;7;5;4;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;71.43%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
6/01/20;Company_02;4;3;4;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;1;1;;10;0;0;0;0;0;0;0;0;100.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
6/01/20;Company_08;60;22;32;50;10;9;0;11;11;0;16;16;0;17;;;;;;;;1;3;;0;0;5;0;0;0;0;0;0;83.33%;28.12%;0.00%;0.00%;50.00%;50.00%;50.00%;50.00%;0;17;;;;;;;
6/01/20;Company_09;3;1;1;2;1;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;;2;0;1;0;0;0;0;0;0;66.67%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
6/01/20;Company_10;5;3;4;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;;10;0;1;0;0;0;0;0;0;100.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
6/01/20;Company_12;18;11;7;13;5;2;0;2;2;0;1;1;0;2;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;72.22%;28.57%;0.00%;0.00%;18.18%;14.29%;18.18%;14.29%;0;2;;;;;;;
6/01/20;Company_14;2394;75;76;126;2268;20;23;13;33;22;13;33;25;16;;;;;;;;18;39;;32;2;5200.00%;0;0;0;0;0;0;5.26%;26.32%;30.67%;28.95%;17.33%;17.11%;44.00%;43.42%;25;16;;;;;;;
6/01/20;Company_15;799;432;583;729;70;94;72;63;132;71;59;126;77;65;;;;;;;;3;5;;44;9;292;0;0;0;0;0;0;91.24%;16.12%;16.67%;12.18%;14.58%;10.12%;30.56%;21.61%;77;65;;;;;;;
